? Hugging Face token is set.
wandb token is set
This is the LORA Path : /hkfs/work/workspace/scratch/st_st191428-LiverLLM/Liver LLM/llama3_medical_finetuned/checkpoint_7000
{'loss': 0.5559, 'grad_norm': 0.0, 'learning_rate': 0.00019397077862030702, 'num_tokens': 4014080.0, 'mean_token_accuracy': 0.177268410846591, 'epoch': 0.09}
{'loss': 0.5753, 'grad_norm': 0.0, 'learning_rate': 0.00019384748165957708, 'num_tokens': 4096000.0, 'mean_token_accuracy': 0.18580396696925164, 'epoch': 0.09}
{'loss': 0.5495, 'grad_norm': 0.0, 'learning_rate': 0.0001937241846988472, 'num_tokens': 4177920.0, 'mean_token_accuracy': 0.17066019549965858, 'epoch': 0.09}
{'loss': 0.5552, 'grad_norm': 0.0, 'learning_rate': 0.00019360088773811727, 'num_tokens': 4259840.0, 'mean_token_accuracy': 0.16936867386102678, 'epoch': 0.1}
{'loss': 0.6316, 'grad_norm': 0.0, 'learning_rate': 0.00019347759077738733, 'num_tokens': 4341760.0, 'mean_token_accuracy': 0.19780822061002254, 'epoch': 0.1}
{'loss': 0.5449, 'grad_norm': 0.0, 'learning_rate': 0.00019335429381665744, 'num_tokens': 4423680.0, 'mean_token_accuracy': 0.180063571408391, 'epoch': 0.1}
{'loss': 0.5615, 'grad_norm': 0.0, 'learning_rate': 0.00019323099685592752, 'num_tokens': 4505600.0, 'mean_token_accuracy': 0.18317520953714847, 'epoch': 0.1}
{'loss': 0.6435, 'grad_norm': 0.0, 'learning_rate': 0.0001931076998951976, 'num_tokens': 4587520.0, 'mean_token_accuracy': 0.21613883785903454, 'epoch': 0.1}
{'loss': 0.5873, 'grad_norm': 0.0, 'learning_rate': 0.00019298440293446766, 'num_tokens': 4669440.0, 'mean_token_accuracy': 0.191220286488533, 'epoch': 0.11}
{'loss': 0.5713, 'grad_norm': 0.0, 'learning_rate': 0.00019286110597373777, 'num_tokens': 4751360.0, 'mean_token_accuracy': 0.20128704328089952, 'epoch': 0.11}
